N_Season,N_Date,Momentum_3d,Momentum_6d,Momentum_9d,Momentum_12d,Momentum_15d,Momentum_18d,Momentum_31d,Momentum_41d,Momentum_51d,Momentum_61d,Resistance30d,Support30d,CTrendHigh_10d,CTrendHigh_20d,CTrendHigh_50d,CTrendLow_10d,CTrendLow_20d,CTrendLow_50d,Velocity_21d,EMA20,EMA50,SMA5,SMA10,SMA20,SMA50,STD20,STDSLP20,STD50,RSI6,RSI24SLP5,RSI24,RSI50SLP5,RSI50,RSI10_P10,RSI20_P20,IXICMomDiff_10,IXICMomDiff_20,IXICMomDiff_50,ADTM23day,MAADTM8ma23day,LWR3ma9day,MACD12To26m9,DIF12To26,DEA12To26m9,HistoryAvgDiff30,NC_Highest10d,VC_Highest10dV,VC_Highest10dRawV
Spring,"2014-03-20",0.0018951308,-0.014536512,0.00716961,-4.7081264E-4,0.027265554,0.008640282,0.06866977,-0.059520517,0.02162048,-0.010136518,0.076093115,0.009085539,0.0033680522,-0.0014153027,-0.011924426,-0.005491479,-0.007183326,-0.017802365,0.8320773,0.99785924,0.9939995,1.0002685,0.9961376,0.99983644,0.9983138,0.008466929,-0.0010641308,0.027584804,37.173595,1.0818809,46.129745,0.024784852,27.380165,50.85806,45.779617,-0.0036582667,0.026398808,0.0690775,0.24538330733776093,0.4088115096092224,-14.831731,-0.030271132,0.0055160522,0.020651618,1.0014832,Very_High,0.030656852,76.9681
Autumn,"2014-09-15",0.036934935,0.021750199,-0.047933187,0.02256985,0.0155115705,0.011769448,0.008490711,0.00599808,-0.008309303,0.013113765,0.059940774,-0.016637301,0.0026270356,0.056164887,0.101026915,-0.026289843,0.021590868,0.067589335,0.9538633,1.016723,1.0435412,1.0088147,1.014879,1.0098019,1.0412058,0.015296416,-0.0013679567,0.028657647,25.302673,-1.3296425,68.59311,-0.054766845,65.240234,54.344074,66.818016,-0.007785201,-0.02598047,-0.07436005,0.6987884640693665,0.6421266794204712,-66.36207,-0.26391172,0.97177887,1.1037347,1.0336907,Stay,-0.0010673506,102.09265
Winter,"2014-11-19",0.025670849,0.037902642,0.010128955,0.008790682,0.02578528,0.03132203,0.03057412,-0.018389646,0.03593053,-0.037331637,0.09089124,-0.03183804,0.08032752,0.13418321,0.16783516,0.052356295,0.10907697,0.16398624,0.88412917,1.047083,1.0927851,1.003887,1.0251021,1.0495743,1.1064705,0.029959064,-0.0016321011,0.0457919,91.00528,-0.9969765,60.701004,0.045030214,57.765114,68.23253,60.477894,-0.04996805,-0.06420311,-0.14836384,0.9195807576179504,0.7778113484382629,-14.007103,0.81968784,3.3399353,2.9300914,1.0814339,Very_High,0.034646653,119.27926
Spring,"2015-01-20",-0.0029347618,0.0052184626,0.050215766,-0.06494174,-0.0062705385,0.0033879783,-0.054773297,0.01746527,0.060449034,0.054164294,-0.009556408,-0.085697025,0.046939828,0.009764866,0.04522635,0.010340514,-0.03759269,-0.01080374,0.98875844,0.99094284,0.99095076,1.0037854,0.9986125,0.98640853,0.9702117,0.023939926,2.2014455E-4,0.031619616,47.309765,0.02520218,54.978024,0.01832962,60.023506,51.3179,53.840786,-0.013648832,0.015947262,3.1914673E-4,-0.03289620950818062,0.019879300147294998,-60.519413,-0.30711186,-0.9779129,-0.824357,0.983055,Very_High,0.10122046,119.52826
Spring,"2015-01-27",-0.010157978,0.02181831,-0.041371226,0.009063432,0.033244047,-0.065029904,-0.016344652,-0.059796885,0.081876874,0.045310035,0.008523656,-0.060265735,0.06543534,0.058854498,0.07690911,0.002113826,-0.030499825,-0.003108833,1.9964055,0.9887254,0.9919629,0.9794137,0.9933373,0.9929625,0.97227997,0.02268649,-2.5068707E-4,0.030887818,53.528076,2.2495468,46.37511,0.038225554,58.68865,42.42165,50.043552,0.023819286,0.01183429,0.0101325065,0.06663874536752701,0.2055240273475647,-49.92262,0.64654034,-0.09573364,-0.4190038,0.98874354,Very_High,0.090256795,122.15
Spring,"2015-02-11",0.040493257,0.016146429,0.020031067,0.04536664,0.038090907,-0.004090872,-0.035149705,0.0024942858,-0.062568314,0.075150885,0.029188875,-0.07977122,0.08350086,0.13460216,0.068752475,0.03111097,0.091703214,0.012323488,1.1566386,1.0712001,1.1041214,1.0312308,1.0440949,1.0880274,1.1093763,0.04477628,0.0017620273,0.035700668,78.46989,1.1320168,44.065536,0.035712432,57.564262,60.65389,52.79532,-0.05306402,-0.105495036,-0.04478887,0.7089580297470093,0.5265958309173584,-14.391571,1.6857777,3.1257858,2.282897,1.1095123,Very_High,0.06948453,133.6
Spring,"2014-03-06",0.014003811,0.00792596,-0.029344,-0.027197806,0.01683593,0.05069998,-0.059520517,0.02162048,-0.010136518,-0.049227085,-0.0014175179,-0.09904904,-0.004189969,0.04399712,-0.021907602,-0.011701143,0.03889259,-0.032719553,0.6310479,1.0035677,0.9966687,1.0020387,1.007454,1.0010166,1.0006739,0.016641553,-0.0026197217,0.03001435,48.335186,-1.9193481,43.73683,-0.04453964,52.09696,46.4214,52.287243,0.03029522,0.029807616,0.10046804,0.6516114473342896,0.5689669251441956,-91.246956,0.090139896,-0.04270172,-0.08777167,1.010728,High,0.0097672185,75.65866
Autumn,"2014-08-14",0.023407115,0.018126318,-0.022643276,-0.03755165,0.013808693,0.02147608,0.013472922,0.013107996,0.025618242,0.06638792,0.057197765,-0.0055858404,0.012605428,0.035667427,0.0661514,-1.9163231E-4,0.029618002,0.048847083,0.59320945,1.0198067,1.0456504,1.0125871,1.0200557,1.0171195,1.037768,0.015177442,-2.8789564E-4,0.023260953,32.210205,1.0624726,60.262566,-0.023892974,61.320362,56.84185,65.80362,-0.0013186056,-0.021692444,-0.021353614,0.2745974659919739,0.2525496482849121,-85.46063,-0.035609245,0.75509644,0.77290106,1.0223162,Very_High,0.053397574,101.93395
Summer,"2014-05-06",0.0040708636,0.03261167,0.12291621,0.012933066,-0.0055372184,-0.0018369477,0.016795998,-0.007676632,-0.0042028083,0.04134824,0.01572607,-0.04435038,0.1364724,0.13846302,0.14056861,0.10839776,0.11818856,0.11705406,1.2120999,1.0519981,1.0841953,1.0008518,1.0212529,1.0745219,1.0994229,0.056596845,0.003309159,0.040169947,92.33969,0.38621444,42.884136,-0.028974151,47.181305,67.8723,43.857727,-0.13753103,-0.13307038,-0.18127453,0.5779301524162292,0.5109562277793884,-1.9498991,1.5595562,2.4971542,1.7173761,1.0798278,High,0.0104434565,85.62136
Winter,"2014-12-02",-0.03728912,0.023409717,0.020800252,0.032826457,0.034856014,0.0018506943,0.11962317,-0.030321259,-0.019915782,0.02974222,0.17835677,0.031052671,0.016797554,0.08583036,0.17257784,-0.017917022,0.034649346,0.11108061,1.371156,1.0089772,1.0589589,0.9793584,0.98244685,1.0091637,1.0791825,0.032826256,1.13777816E-4,0.06136792,97.03979,-0.23593445,66.479416,0.059719086,55.86458,78.568436,63.995438,0.0133871855,-0.037473638,-0.089902356,0.5623406767845154,0.719711422920227,-19.80261,-0.688416,3.1732025,3.5174105,1.035283,Very_High,0.012527113,116.73928
